CD_MUN,NM_MUN_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual
3544251,Rosana,1860,669,4,673
3544301,Roseira,65,23,15,38
3544400,Rubiácea,126,112,1,113
3544509,Rubinéia,106,78,17,95
3544608,Sabino,11,7,2,9
3544707,Sagres,69,23,0,23
3544806,Sales,111,20,6,26
3544905,Sales Oliveira,145,48,0,48
3545001,Salesópolis,9,0,0,0
3545100,Salmourão,157,77,0,77
3545159,Saltinho,369,83,7,90
3545209,Salto,2035,584,15,599
3545308,Salto de Pirapora,130,3,7,10
3545407,Salto Grande,266,112,0,112
3545506,Sandovalina,101,62,3,65
3545605,Santa Adélia,634,281,34,315
3545704,Santa Albertina,657,593,13,606
3545803,Santa Bárbara d'Oeste,9217,5923,50,5973
3546009,Santa Branca,48,5,2,7
3546108,Santa Clara d'Oeste,289,163,1,164
3546207,Santa Cruz da Conceição,29,8,0,8
3546256,Santa Cruz da Esperança,19,10,8,18
3546306,Santa Cruz das Palmeiras,207,114,0,114
3546405,Santa Cruz do Rio Pardo,2355,1847,1,1848
3546504,Santa Ernestina,226,137,2,139
3546603,Santa Fé do Sul,1221,1000,20,1020
3546702,Santa Gertrudes,1025,307,0,307
3546801,Santa Isabel,219,39,0,39
3546900,Santa Lúcia,741,643,10,653
3547007,Santa Maria da Serra,18,10,0,10
3547106,Santa Mercedes,710,555,3,558
3547205,Santana da Ponte Pensa,223,131,2,133
3547304,Santana de Parnaíba,544,120,13,133
3547403,Santa Rita d'Oeste,363,157,61,218
3547502,Santa Rita do Passa Quatro,950,763,6,769
3547601,Santa Rosa de Viterbo,674,258,0,258
3547650,Santa Salete,600,281,27,308
3547700,Santo Anastácio,374,146,3,149
3547809,Santo André,539,89,67,156
3547908,Santo Antônio da Alegria,41,30,1,31
3548005,Santo Antônio de Posse,422,177,9,186
3548054,Santo Antônio do Aracanguá,475,368,0,368
3548104,Santo Antônio do Jardim,26,2,0,2
3548203,Santo Antônio do Pinhal,10,1,0,1
3548302,Santo Expedito,313,225,7,232
3548401,Santópolis do Aguapeí,282,174,0,174
3548500,Santos,2427,383,10,393
3548609,São Bento do Sapucaí,0,0,0,0
3548708,São Bernardo do Campo,982,113,56,169
3548807,São Caetano do Sul,244,21,78,99
3548906,São Carlos,5897,2097,41,2138
3549003,São Francisco,501,237,136,373
3549102,São João da Boa Vista,235,78,3,81
3549201,São João das Duas Pontes,90,53,13,66
3549250,São João de Iracema,292,179,22,201
3549300,São João do Pau d'Alho,256,190,0,190
3549409,São Joaquim da Barra,248,26,1,27
3549508,São José da Bela Vista,24,10,0,10
3549607,São José do Barreiro,5,0,0,0
3549706,São José do Rio Pardo,485,249,164,413
3549805,São José do Rio Preto,30717,20267,46,20313
3549904,São José dos Campos,10704,1546,152,1698
3549953,São Lourenço da Serra,12,0,0,0
3550001,São Luiz do Paraitinga,27,2,5,7
3550100,São Manuel,351,106,3,109
3550209,São Miguel Arcanjo,15,0,2,2
3550308,São Paulo,43779,11599,348,11947
3550407,São Pedro,681,262,5,267
3550506,São Pedro do Turvo,229,141,2,143
3550605,São Roque,101,33,5,38
3550704,São Sebastião,3865,1095,3,1098
3550803,São Sebastião da Grama,13,2,1,3
3550902,São Simão,190,19,1,20
3551009,São Vicente,810,173,1,174
3551108,Sarapuí,3,0,0,0
3551207,Sarutaiá,96,64,2,66
3551306,Sebastianópolis do Sul,221,124,0,124
3551405,Serra Azul,404,134,2,136
3551504,Serrana,401,54,0,54
3551603,Serra Negra,61,15,2,17
3551702,Sertãozinho,5065,3195,167,3362
3551801,Sete Barras,5,0,0,0
3551900,Severínia,1429,311,12,323
3552007,Silveiras,2,0,1,1
3552106,Socorro,227,44,0,44
3552205,Sorocaba,9225,983,119,1102
3552304,Sud Mennucci,747,152,2,154
3552403,Sumaré,2655,1002,6,1008
3552502,Suzano,873,443,5,448
3552551,Suzanápolis,493,339,6,345
3552601,Tabapuã,390,203,0,203
3552700,Tabatinga,475,97,3,100
3552809,Taboão da Serra,333,54,24,78
3552908,Taciba,196,110,4,114
3553005,Taguaí,29,1,2,3
3553104,Taiaçu,55,7,1,8
3553203,Taiúva,118,50,3,53
3553302,Tambaú,64,23,0,23
3553401,Tanabi,2412,1596,1,1597
3553500,Tapiraí,4,1,0,1
3553609,Tapiratiba,1,1,0,1
3553658,Taquaral,388,221,1,222
3553708,Taquaritinga,1120,544,14,558
3553807,Taquarituba,27,1,9,10
3553856,Taquarivaí,25,4,4,8
3553906,Tarabai,369,190,34,224
3553955,Tarumã,772,90,2,92
3554003,Tatuí,1056,11,13,24
3554102,Taubaté,6405,1536,4,1540
3554201,Tejupá,1,0,0,0
3554300,Teodoro Sampaio,4950,3521,106,3627
3554409,Terra Roxa,208,119,3,122
3554508,Tietê,655,265,18,283
3554607,Timburi,3,0,0,0
3554656,Torre de Pedra,4,1,0,1
3554706,Torrinha,15,1,11,12
3554755,Trabiju,78,13,5,18
3554805,Tremembé,783,279,7,286
3554904,Três Fronteiras,363,288,8,296
3554953,Tuiuti,6,0,0,0
3555000,Tupã,5368,3095,0,3095
3555109,Tupi Paulista,1750,1301,8,1309
3555208,Turiúba,56,45,0,45
3555307,Turmalina,117,104,2,106
3555356,Ubarana,645,544,0,544
3555406,Ubatuba,1133,167,2,169
3555505,Ubirajara,16,2,0,2
3555604,Uchoa,686,279,0,279
3555703,União Paulista,122,52,0,52
3555802,Urânia,1846,1653,6,1659
3555901,Uru,12,0,3,3
3556008,Urupês,148,69,17,86
3556107,Valentim Gentil,651,241,0,241
