CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3532702,Nipoã,10,4750
3,Sudeste,35,São Paulo,3532801,Nova Aliança,14,6693
3,Sudeste,35,São Paulo,3532827,Nova Campina,26,8497
3,Sudeste,35,São Paulo,3532843,Nova Canaã Paulista,12,2032
3,Sudeste,35,São Paulo,3532868,Nova Castilho,6,1062
3,Sudeste,35,São Paulo,3532900,Nova Europa,23,9311
3,Sudeste,35,São Paulo,3533007,Nova Granada,58,19419
3,Sudeste,35,São Paulo,3533106,Nova Guataporanga,9,2156
3,Sudeste,35,São Paulo,3533205,Nova Independência,14,4609
3,Sudeste,35,São Paulo,3533254,Novais,16,4412
3,Sudeste,35,São Paulo,3533304,Nova Luzitânia,12,2837
3,Sudeste,35,São Paulo,3533403,Nova Odessa,156,62019
3,Sudeste,35,São Paulo,3533502,Novo Horizonte,116,38324
3,Sudeste,35,São Paulo,3533601,Nuporanga,24,7391
3,Sudeste,35,São Paulo,3533700,Ocauçu,13,4331
3,Sudeste,35,São Paulo,3533809,Óleo,18,2512
3,Sudeste,35,São Paulo,3533908,Olímpia,120,55074
3,Sudeste,35,São Paulo,3534005,Onda Verde,12,4771
3,Sudeste,35,São Paulo,3534104,Oriente,18,6085
3,Sudeste,35,São Paulo,3534203,Orindiúva,15,6024
3,Sudeste,35,São Paulo,3534302,Orlândia,80,38319
3,Sudeste,35,São Paulo,3534401,Osasco,1472,728615
3,Sudeste,35,São Paulo,3534500,Oscar Bressane,11,2470
3,Sudeste,35,São Paulo,3534609,Osvaldo Cruz,77,31272
3,Sudeste,35,São Paulo,3534708,Ourinhos,290,103970
3,Sudeste,35,São Paulo,3534757,Ouroeste,30,10294
3,Sudeste,35,São Paulo,3534807,Ouro Verde,26,7779
3,Sudeste,35,São Paulo,3534906,Pacaembu,32,14877
3,Sudeste,35,São Paulo,3535002,Palestina,38,11476
3,Sudeste,35,São Paulo,3535101,Palmares Paulista,28,9650
3,Sudeste,35,São Paulo,3535200,Palmeira d'Oeste,32,8903
3,Sudeste,35,São Paulo,3535309,Palmital,50,19594
3,Sudeste,35,São Paulo,3535408,Panorama,38,14964
3,Sudeste,35,São Paulo,3535507,Paraguaçu Paulista,94,41120
3,Sudeste,35,São Paulo,3535606,Paraibuna,62,17667
3,Sudeste,35,São Paulo,3535705,Paraíso,19,6099
3,Sudeste,35,São Paulo,3535804,Paranapanema,65,19395
3,Sudeste,35,São Paulo,3535903,Paranapuã,11,4031
3,Sudeste,35,São Paulo,3536000,Parapuã,49,10580
3,Sudeste,35,São Paulo,3536109,Pardinho,31,7153
3,Sudeste,35,São Paulo,3536208,Pariquera-Açu,54,19233
3,Sudeste,35,São Paulo,3536257,Parisi,5,2892
