CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3518859,Guatapará,55,0,0,0,0,7,4,7,7,0,0,2,4,24,55
3518909,Guzolândia,85,0,0,9,31,21,17,5,1,0,0,0,0,1,85
3519006,Herculândia,239,4,4,2,19,64,88,36,17,7,3,1,1,1,243
3519055,Holambra,125,11,1,1,16,62,46,7,0,1,0,2,0,0,136
3519071,Hortolândia,1139,6,17,37,161,407,313,75,45,22,12,23,14,19,1145
3519105,Iacanga,162,21,1,2,8,39,70,23,14,6,0,4,4,12,183
3519204,Iacri,351,0,14,7,15,176,72,9,2,7,4,7,17,21,351
3519253,Iaras,245,7,0,0,28,124,91,8,1,0,0,0,0,0,252
3519303,Ibaté,1367,15,0,22,230,383,512,159,54,19,1,1,0,1,1382
3519402,Ibirá,836,5,0,8,126,408,253,30,11,5,0,0,0,0,841
3519501,Ibirarema,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2
3519600,Ibitinga,502,2,0,3,55,163,179,45,40,10,4,0,2,3,504
3519709,Ibiúna,6,3,0,0,2,2,3,1,0,0,0,1,0,0,9
3519808,Icém,176,2,61,42,36,21,12,3,2,0,0,1,0,0,178
3519907,Iepê,124,2,1,0,1,6,51,9,5,8,4,3,3,35,126
3520004,Igaraçu do Tietê,29,14,0,0,2,18,20,3,0,0,0,0,0,0,43
3520103,Igarapava,70,0,2,0,2,6,19,11,6,7,7,2,5,3,70
3520202,Igaratá,4,1,1,0,1,1,2,0,0,0,0,0,0,0,5
3520301,Iguape,8,0,1,0,0,2,3,2,0,0,0,0,0,0,8
3520400,Ilhabela,406,24,113,42,28,64,44,58,46,12,15,8,0,0,430
3520426,Ilha Comprida,4,0,0,0,0,3,1,0,0,0,0,0,0,0,4
3520442,Ilha Solteira,57,1,0,4,7,8,13,4,9,3,0,1,3,6,58
3520509,Indaiatuba,1372,10,3,26,147,681,402,91,21,8,0,1,1,1,1382
3520608,Indiana,234,8,1,0,4,39,111,53,25,0,1,0,2,6,242
3520707,Indiaporã,5,7,0,0,1,4,2,2,2,0,1,0,0,0,12
3520806,Inúbia Paulista,278,0,1,1,24,75,59,24,28,6,3,8,13,36,278
3520905,Ipaussu,18,11,0,0,1,11,11,4,0,1,0,0,0,1,29
3521002,Iperó,13,0,0,0,1,6,3,2,0,0,0,1,0,0,13
3521101,Ipeúna,46,0,2,0,5,10,15,4,6,1,2,1,0,0,46
3521150,Ipiguá,42,4,1,3,11,8,13,3,0,2,1,1,0,3,46
3521200,Iporanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3521309,Ipuã,81,2,3,0,22,18,7,9,4,0,1,6,11,2,83
3521408,Iracemápolis,82,5,5,0,5,34,33,9,0,1,0,0,0,0,87
3521507,Irapuã,8,1,0,0,1,5,3,0,0,0,0,0,0,0,9
3521606,Irapuru,150,1,1,0,2,31,27,19,20,19,3,6,7,16,151
3521705,Itaberá,7,1,0,0,2,2,3,1,0,0,0,0,0,0,8
3521804,Itaí,3,1,0,0,0,1,0,0,1,0,1,1,0,0,4
3521903,Itajobi,1213,5,22,90,504,440,140,20,1,0,0,0,0,1,1218
3522000,Itaju,17,0,0,0,0,0,9,1,6,1,0,0,0,0,17
3522109,Itanhaém,98,0,4,1,12,25,28,17,4,0,3,2,2,0,98
3522158,Itaoca,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3522208,Itapecerica da Serra,10,0,1,2,1,4,1,0,0,0,0,0,1,0,10
3522307,Itapetininga,66,3,2,2,8,19,23,7,3,2,0,1,1,1,69
3522406,Itapeva,595,43,0,3,39,263,290,29,8,0,0,2,2,2,638
3522505,Itapevi,45,4,0,0,2,13,26,3,4,0,1,0,0,0,49
3522604,Itapira,116,6,1,2,5,42,52,13,1,2,1,1,0,2,122
3522653,Itapirapuã Paulista,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3522703,Itápolis,291,0,1,0,6,38,76,37,19,13,10,7,29,55,291
3522802,Itaporanga,465,8,0,10,122,219,106,11,2,3,0,0,0,0,473
3522901,Itapuí,140,0,0,0,3,51,56,18,7,3,0,1,1,0,140
3523008,Itapura,27,0,6,0,0,6,5,6,1,1,1,0,0,1,27
3523107,Itaquaquecetuba,352,7,0,4,49,157,122,14,3,1,0,5,1,3,359
3523206,Itararé,65,1,1,1,5,18,34,4,1,0,0,0,2,0,66
3523305,Itariri,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3523404,Itatiba,222,1,0,2,29,102,78,10,1,1,0,0,0,0,223
3523503,Itatinga,2,2,1,0,0,1,1,1,0,0,0,0,0,0,4
3523602,Itirapina,72,0,0,0,6,32,27,4,1,0,0,0,2,0,72
3523701,Itirapuã,184,4,0,11,85,62,26,1,0,1,1,1,0,0,188
3523800,Itobi,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2
3523909,Itu,497,6,2,3,55,161,204,48,16,3,1,1,2,7,503
3524006,Itupeva,160,1,0,7,23,81,35,11,0,0,1,2,0,1,161
3524105,Ituverava,512,2,1,1,45,138,226,62,18,7,5,3,0,8,514
3524204,Jaborandi,76,6,1,0,0,8,21,16,10,15,6,3,0,2,82
3524303,Jaboticabal,460,2,3,8,53,158,158,40,26,5,2,6,1,2,462
3524402,Jacareí,669,50,1,1,56,276,274,55,25,9,6,6,4,6,719
3524501,Jaci,278,0,8,12,42,105,51,14,14,12,3,2,6,9,278
3524600,Jacupiranga,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3524709,Jaguariúna,467,6,3,6,35,170,160,44,18,13,7,6,3,8,473
3524808,Jales,2672,12,272,598,1017,556,197,23,7,6,4,2,0,2,2684
3524907,Jambeiro,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2
3525003,Jandira,6,0,0,0,2,0,0,1,2,1,0,0,0,0,6
3525102,Jardinópolis,38,2,1,1,6,9,17,2,0,1,2,1,0,0,40
3525201,Jarinu,98,10,0,1,6,38,41,11,3,1,1,0,4,2,108
3525300,Jaú,713,9,4,5,77,276,279,43,21,6,3,3,2,3,722
3525409,Jeriquara,40,1,0,1,4,17,17,1,0,0,1,0,0,0,41
3525508,Joanópolis,8,1,0,0,0,3,0,0,3,2,0,1,0,0,9
3525607,João Ramalho,92,6,1,0,6,32,48,10,0,1,0,0,0,0,98
3525706,José Bonifácio,2763,1,35,93,1007,1217,354,23,19,7,1,2,2,4,2764
3525805,Júlio Mesquita,79,0,2,0,0,22,42,6,2,0,0,0,2,3,79
3525854,Jumirim,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2
3525904,Jundiaí,457,132,8,15,73,246,188,34,5,3,2,9,3,3,589
3526001,Junqueirópolis,1439,4,10,69,415,688,211,33,6,1,0,0,4,6,1443
3526100,Juquiá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3526209,Juquitiba,184,0,0,0,32,101,38,12,0,0,0,0,1,0,184
3526308,Lagoinha,18,1,0,0,0,10,7,2,0,0,0,0,0,0,19
3526407,Laranjal Paulista,72,0,0,0,3,7,23,8,4,0,4,1,5,17,72
3526506,Lavínia,110,0,0,0,4,28,46,8,10,7,4,1,0,2,110
3526605,Lavrinhas,4,0,0,0,0,0,2,0,1,0,0,0,0,1,4
3526704,Leme,86,1,1,2,2,19,41,10,3,4,1,1,1,2,87
3526803,Lençóis Paulista,130,16,0,0,14,41,69,10,7,2,0,0,2,1,146
3526902,Limeira,611,8,2,11,78,260,184,48,17,6,3,4,3,3,619
3527009,Lindóia,144,0,0,3,20,62,47,10,2,0,0,0,0,0,144
3527108,Lins,1719,10,33,69,316,666,455,67,30,23,21,2,8,39,1729
3527207,Lorena,20,0,1,2,2,4,7,1,2,0,1,0,0,0,20
3527256,Lourdes,90,15,49,26,9,5,2,3,5,1,0,2,2,1,105
3527306,Louveira,108,11,1,2,9,41,47,13,3,0,0,0,2,1,119
3527405,Lucélia,212,0,0,1,15,53,67,30,17,7,1,8,3,10,212
3527504,Lucianópolis,46,5,0,0,5,28,18,0,0,0,0,0,0,0,51
3527603,Luís Antônio,631,6,0,9,180,298,118,27,3,1,0,0,1,0,637
3527702,Luiziânia,334,0,9,72,188,54,8,0,2,0,0,1,0,0,334
3527801,Lupércio,39,0,0,0,1,8,5,1,2,0,0,0,5,17,39
3527900,Lutécia,253,0,1,0,38,98,99,12,3,1,0,0,1,0,253
3528007,Macatuba,65,11,0,0,4,19,38,13,1,0,0,0,0,1,76
