CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3512001,Colina,18601,164,156,8,2,4,21,32,86,7,2,4,1,4,0,1,88.0,Baixa
3512100,Colômbia,6223,214,210,4,0,0,31,55,54,66,7,0,1,0,0,0,344.0,Alta
3512209,Conchal,28491,34,33,1,2,1,1,7,20,2,1,0,0,0,0,0,12.0,Baixa
3512308,Conchas,18138,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0,Baixa
3512407,Cordeirópolis,25116,549,546,3,12,10,61,136,165,84,27,20,5,14,10,5,219.0,Média
3512506,Coroados,6197,476,469,7,3,34,176,177,66,11,4,2,0,1,0,2,768.0,Alta
3512605,Coronel Macedo,4591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3512704,Corumbataí,4072,21,18,3,0,0,4,3,6,6,1,0,0,0,0,1,52.0,Baixa
3512803,Cosmópolis,74662,513,505,8,1,6,79,217,168,31,7,2,1,0,1,0,69.0,Baixa
3512902,Cosmorama,7289,237,233,4,184,30,1,1,1,0,0,0,0,3,7,10,325.0,Alta
3513009,Cotia,257882,259,246,13,0,2,25,124,96,6,4,0,2,0,0,0,10.0,Baixa
3513108,Cravinhos,35858,51,51,0,0,1,5,18,16,9,1,0,0,0,0,1,14.0,Baixa
3513207,Cristais Paulista,8803,60,56,4,0,2,16,24,15,3,0,0,0,0,0,0,68.0,Baixa
3513306,Cruzália,2021,26,26,0,0,1,5,16,2,1,0,1,0,0,0,0,129.0,Média
3513405,Cruzeiro,82895,15,15,0,4,0,3,1,3,0,0,1,0,1,0,2,2.0,Baixa
3513504,Cubatão,132521,47,47,0,10,3,1,3,10,3,3,4,3,2,2,3,4.0,Baixa
3513603,Cunha,21373,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Baixa
3513702,Descalvado,34097,848,842,6,3,6,101,330,309,75,21,1,0,2,0,0,249.0,Média
3513801,Diadema,429550,175,154,21,1,5,21,58,68,7,3,2,0,8,2,0,4.0,Baixa
3513850,Dirce Reis,1805,242,235,7,24,79,99,29,8,3,0,0,0,0,0,0,1341.0,Alta
3513900,Divinolândia,11027,11,7,4,0,0,0,10,1,0,0,0,0,0,0,0,10.0,Baixa
3514007,Dobrada,9088,271,256,15,0,1,11,66,141,44,4,3,1,0,0,0,298.0,Média
3514106,Dois Córregos,27704,62,58,4,0,0,3,30,21,3,1,1,2,0,1,0,22.0,Baixa
3514205,Dolcinópolis,2108,221,216,5,0,4,49,64,94,4,5,1,0,0,0,0,1048.0,Alta
3514304,Dourado,8883,218,209,9,1,0,4,50,106,38,15,2,0,1,0,1,245.0,Média
3514403,Dracena,47287,1771,1754,17,48,66,405,639,409,95,48,36,11,2,2,10,375.0,Alta
3514502,Duartina,12421,671,670,1,3,46,271,279,72,0,0,0,0,0,0,0,540.0,Alta
3514601,Dumont,10174,210,208,2,3,2,8,45,106,31,3,4,6,2,0,0,206.0,Média
